ID,TITLE,CONTENTS,NEWSDAY,IMAGE,COMPANY
49,현대제철 3분기 영업이익 515억원…작년보다 77.4% 감소(종합2보),"작년보다 매출 10.5% 감소…철강 시황 둔화세 지속 ""시장 정상화 위해 반덤핑 관세율 40% 이상 부과할 필요"" 현대제철은 연결 기준..
										 
|",2024-10-25 16:59:54,C:\gitmain\scrap\images2\현대제철 3분기 영업이익 515억원…작년보다 77.4% 감소(종합2보).png,연합뉴스
50,"60% 넘게 올랐다…""원전·전력 함께 담아라"" [미다스의 손]","※ 는 급변하는 투자 환경 속 신뢰할 수 있는 정보와 인사이트가 가득한 고품격 투자 콘텐츠, 을 매주 금요일 오후 5시 방송..
										 
|",2024-10-25 16:59:44,C:\gitmain\scrap\images2\60% 넘게 올랐다…원전·전력 함께 담아라 [미다스의 손].png,한국경제TV
51,위안화 약세에 같이 밀린 환율…1390원 터치[한경 외환시장 워치],"원·달러 환율이 1390원을 터치했다. 외국인의 국내 증시 매도세가 나타난 가운데 중국 위안화 약세에 연동해 원화 가치가 급락했다는 분..
										 
|",2024-10-25 16:55:13,C:\gitmain\scrap\images2\위안화 약세에 같이 밀린 환율…1390원 터치[한경 외환시장 워치].png,한국경제
52,"현대위아, 차량 판매 감소에 3분기 영업익 22.5% 감소(종합)","매출은 0.1% 증가한 2조1천억원…""4분기엔 실적 개선 전망"" 현대위아는 올해 3분기 영업이익이 529억원으로 지난해 동기보다 22...
										 
|",2024-10-25 16:53:18,"C:\gitmain\scrap\images2\현대위아, 차량 판매 감소에 3분기 영업익 22.5% 감소(종합).png",연합뉴스
53,한국서 발 빼던 외국인이 웬일…이 주식 담더니 역대 최고가,"코스피에서 외국인 매도세가 이어졌지만 지수는 강보합으로 마감했다. 연말이 다가오며 배당 기대감이 커지는 금융주에서는 외국인 순매수가 이..
										 
|",2024-10-25 16:50:10,C:\gitmain\scrap\images2\한국서 발 빼던 외국인이 웬일…이 주식 담더니 역대 최고가.png,머니투데이
54,"‘품절주’ 고려아연, 연이틀 급등… “국민연금 매물 내놓을지가 향후 관전 포인트”","고려아연 주가가 2거래일 연속 두 자릿수대 상승률을 기록했다. 고려아연 경영권을 지키려는 최윤범 회장 측과 인수하려는 영풍·MBK파트너..
										 
|",2024-10-25 16:50:07,"C:\gitmain\scrap\images2\‘품절주’ 고려아연, 연이틀 급등… “국민연금 매물 내놓을지가 향후 관전 포인트”.png",조선비즈
55,"글로벌 금리 추종하며 2bp 내외 하락…외인, 10선 매수 전환[채권마감]","25일 국고채 금리는 2bp(1bp=0.01%포인트) 내외 하락하며 강세 마감했다. 채권 금리와 가격은 반대로 움직인다. 외국인이 이날..
										 
|",2024-10-25 16:43:10,"C:\gitmain\scrap\images2\글로벌 금리 추종하며 2bp 내외 하락…외인, 10선 매수 전환[채권마감].png",이데일리
56,"백종원 더본코리아, 공모가 '상단 초과' 3만4000원에 확정","백종원 대표(사진)가 이끄는 외식 프랜차이즈 더본코리아가 기관투자자 수요예측에서 공모가를 3만4000원에 확정했다. 희망 공모가 범위(..
										 
|",2024-10-25 16:38:11,"C:\gitmain\scrap\images2\백종원 더본코리아, 공모가 '상단 초과' 3만4000원에 확정.png",파이낸셜뉴스
57,5만6000원도 내줬다…'외국인 엑소더스' 삼성전자,"삼성전자가 외국인의 매도세 속에 5만 6000원선도 내줬다. 잦아들던 외국인의 순매도도 다시 확대하는 모습이다. 25일 엠피닥터에 따르..
										 
|",2024-10-25 16:37:12,C:\gitmain\scrap\images2\5만6000원도 내줬다…'외국인 엑소더스' 삼성전자.png,이데일리
58,"우리금융, 3분기 순이익 9036억원… 전년비 0.48%↑","우리금융그룹은 올 3분기 당기순이익이 9036억원으로 전년 동기 대비 0.48% 증가했다고 25일 밝혔다. 3분기까지 누적 당기순이익은..
										 
|",2024-10-25 16:37:12,"C:\gitmain\scrap\images2\우리금융, 3분기 순이익 9036억원… 전년비 0.48%↑.png",한국경제
